save_xwidth,distance_mask,save_dist,save_offset,save_power,save_ywidth
209.344,0,226,-3.70356,2.31184e+08,206.363
215.768,0,276,-1.30447,2.42406e+08,211.087
224.665,0,326,-2.19664,2.61882e+08,220.194
230.092,0,376,0.562928,2.68126e+08,225.481
242.302,0,426,0.260326,2.94045e+08,239.543
251.072,0,476,2.3583,2.85421e+08,246.092
257.977,1,526,2.96527,2.44208e+08,253.839
273.659,1,576,4.22044,2.58084e+08,291.044
307.357,1,626,2.21141,2.78516e+08,304.863
330.511,1,676,1.5674,2.66562e+08,326.941
353.572,1,714,86.1349,5.57915e+08,349.081
392.216,1,814,88.3878,6.80886e+08,386.63
427.087,1,914,92.4722,6.29705e+08,422.738
469.162,1,1014,97.1563,6.4953e+08,464.798
508.568,1,1114,106.818,6.68358e+08,501.221
777.166,1,1696,-12.8175,2.24965e+09,776.91
831.053,1,1796,-32.1855,2.02523e+09,839.214
861.418,1,1896,-27.5355,2.13422e+09,868.847
916.692,1,1996,-14.4695,2.23402e+09,902.159
945.945,1,2096,-24.3193,2.28633e+09,940.733
1013.54,1,2196,-51.8326,2.47347e+09,1015.62
326.501,,422,99.3148,2.22121e+08,314.864
455.801,,425,112.462,1.29981e+08,457.233
68.8496,,525,13.5765,7.38345e+06,72.1348
68.8496,,4,13.5765,7.38345e+06,72.1348
68.8496,,525,13.5765,7.38345e+06,72.1348
66.1206,,525.254,13.6029,7.69848e+06,69.0508
66.008,,525.508,13.6116,7.84882e+06,67.7282
65.2398,,525.762,14.4458,7.83484e+06,67.607
64.5357,,526.016,13.6646,7.87774e+06,67.0054
64.9512,,526.27,14.4924,7.97237e+06,66.6143
64.6242,,526.524,13.6267,7.8991e+06,66.1922
64.4597,,526.778,13.6538,8.10899e+06,65.8835
64.0469,,527.032,13.6616,8.19291e+06,66.4871
65.4334,,527.286,13.6878,8.44402e+06,66.0045
65.7472,,527.54,14.4859,8.55969e+06,65.9486
64.4589,,527.794,13.701,8.3396e+06,65.7415
64.5639,,528.048,14.5035,8.36118e+06,65.2224
63.9525,,528.302,13.6638,8.15666e+06,64.3282
63.9153,,528.556,13.6855,8.15235e+06,64.1152
63.2637,,529.064,13.7186,8.14623e+06,64.3783
64.249,,529.572,13.6684,8.21329e+06,63.4408
64.0678,,530.08,13.6715,8.18435e+06,63.0032
64.6518,,530.588,13.6754,8.25317e+06,62.7221
64.5789,,531.096,13.7298,8.24103e+06,62.7068
64.6002,,531.604,14.4727,8.24086e+06,62.5436
64.6056,,532.112,13.6677,8.20453e+06,62.2832
65.3548,,532.62,13.6696,8.24362e+06,61.9404
65.5572,,533.128,13.5927,8.29336e+06,62.1577
65.3463,,533.636,13.6038,8.29339e+06,62.3785
65.653,,534.144,13.6857,8.34951e+06,62.5952
66.3986,,534.652,12.8587,8.49367e+06,62.86
66.4125,,535.16,13.6145,8.53948e+06,63.1604
67.3296,,535.668,14.3702,8.72776e+06,63.5754
67.5647,,536.176,14.2914,8.75026e+06,63.7534
68.142,,536.684,14.3383,8.9104e+06,64.3949
1259.5,,4.2,70.5549,4.30547e+08,1237.76
1259.5,,1301,70.5549,4.30547e+08,1237.76
20.4274,,1401,5.05215,499634,19.6849
20.743,,1401.51,3.55526,560338,20.6151
22.7556,,1402.02,4.18903,649179,23.1704
25.3658,,1402.52,3.54718,726320,25.8194
28.3473,,1403.03,4.17569,719595,29.238
31.1463,,1403.54,3.5789,653989,31.8247
33.8592,,1404.05,4.24503,609686,34.7988
36.6233,,1404.56,3.5605,609938,37.5024
22.561,,1400.49,3.53096,525564,21.6044
25.8974,,1399.98,3.60976,540776,24.3764
29.8635,,1399.48,3.66358,522555,27.8681
34.6825,,1398.97,4.3128,547619,32.0403
20.6293,,1401,3.49137,527945,19.9302
20.6293,,1401.13,3.49137,527945,19.9302
20.3182,,1401.13,3.61353,542491,19.9542
20.3002,,1401.25,3.5959,577777,20.0762
20.3172,,1401.38,2.88787,577077,20.2831
20.7953,,1401.51,4.24507,588151,20.5832
20.8912,,1400.87,3.57754,552964,20.1726
21.2843,,1400.75,4.3348,527516,20.3519
21.7971,,1400.62,3.63937,533984,20.8495
22.4573,,1400.46,3.60891,539191,21.6639
